Month,ID,CalcAge,HatchDateJulYear,AllSex,BillDepth,BillWidth,BillNT,TEC,UB,UBS,TBS,Skull,Tarsus,Weight,MaxTempMean1_11,MaxTempMean12_22,MeanMaxTempIncubation,MinTempMean1_11,MinTempMean12_22,MeanMinTempIncubation,GDDSum1_11,GDDSum12_22,GDDSumIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation
4,6W NOGO01,28.2,2001115,F,12.3,13.4,23,34.8,11.8,145.14,223.59,42.7,59.5,388,21.71717172,20.4040404,15.76023392,3.484848485,5.202020202,3.216374269,81,73,66,0.0508,1.1176,1.8288
4,2I MNDY01,25,2001116,F,12.4,12.2,23,32.7,9.7,120.28,201.105,42.9,59.8,387,21.26262626,20.95959596,15.78947368,3.282828283,6.111111111,3.011695906,78,84,66,0.0508,1.1176,1.27
4,9Z CCPL01,26.5,2001116,F,12.9,12.6,22.9,34.7,11.8,152.22,221.2125,41.9,59.2,382,21.26262626,20.95959596,15.78947368,3.282828283,6.111111111,3.011695906,78,84,66,0.0508,1.1176,1.27
4,7X CCPL01,28,2001116,F,12.4,12.7,24.1,37.5,13.4,166.16,235.3125,41,59.7,380,21.26262626,20.95959596,15.78947368,3.282828283,6.111111111,3.011695906,78,84,66,0.0508,1.1176,1.27
4,1H MNDY01,24,2001117,F,11.7,12,22.1,32.8,10.7,125.19,194.34,41.1,57.4,348,21.96969697,20.45454545,16.22807018,4.04040404,6.515151515,3.011695906,84,83,66,0.0508,1.143,1.2192
4,6M HOMS01,26.2,2001117,F,12.7,12.3,22.9,37.6,14.7,186.69,235,37.9,57.6,343,21.96969697,20.45454545,16.22807018,4.04040404,6.515151515,3.011695906,84,83,66,0.0508,1.143,1.2192
4,1G MIPI01,26.4,2001118,F,12.1,12.5,22.5,34,11.5,139.15,209.1,41.8,59.1,335,22.22222222,20.15151515,16.22807018,4.696969697,6.666666667,2.894736842,93,82,65,0.0508,1.4986,1.2192
4,6B BRBI01,27.2,2001118,F,11.6,11.9,22.2,34.4,12.2,141.52,202.1,42.7,58.8,357,22.22222222,20.15151515,16.22807018,4.696969697,6.666666667,2.894736842,93,82,65,0.0508,1.4986,1.2192
4,2H MIPI01,28.8,2001118,F,13.5,11.9,24.5,37.1,12.6,170.1,235.585,44.2,59,402,22.22222222,20.15151515,16.22807018,4.696969697,6.666666667,2.894736842,93,82,65,0.0508,1.4986,1.2192
4,9E MIPI01,29,2001118,F,13.4,12.8,24.5,35.7,11.2,150.08,233.835,44.3,57,402,22.22222222,20.15151515,16.22807018,4.696969697,6.666666667,2.894736842,93,82,65,0.0508,1.4986,1.2192
4,0Q NMUR01,25.2,2001119,F,11.4,12.3,18.4,30.7,12.3,140.22,181.8975,36.6,51.4,277,22.67676768,19.94949495,15.70175439,5.555555556,6.262626263,2.543859649,105,76,63,0.2286,1.3208,0.5588
4,8O NMUR01,25.9,2001119,F,12.4,12.9,19.6,31.1,11.5,142.6,196.7075,38.4,53.6,315,22.67676768,19.94949495,15.70175439,5.555555556,6.262626263,2.543859649,105,76,63,0.2286,1.3208,0.5588
5,6L WARO01,26,2001124,F,12.6,12.1,21.9,33.8,11.9,149.94,208.715,41.3,59.2,412,22.67676768,19.34343434,18.3625731,6.919191919,8.181818182,3.187134503,109,82,110,1.1684,2.7432,0.5334
5,3I WARO01,27.1,2001124,F,13.3,13.2,23.6,36,12.4,164.92,238.5,41.5,61.5,415,22.67676768,19.34343434,18.3625731,6.919191919,8.181818182,3.187134503,109,82,110,1.1684,2.7432,0.5334
5,3S MMUR01,26.4,2001130,F,14,13.7,22.7,36.7,14,196,254.1475,40.9,60.7,419,19.94949495,19.04040404,21.95906433,6.262626263,9.595959596,5.438596491,76,93,162,1.3208,3.6322,0.6858
5,0P SWEG01,26.8,2001130,F,12.6,13.8,23,37.1,14.1,177.66,244.86,42,58.7,400,19.94949495,19.04040404,21.95906433,6.262626263,9.595959596,5.438596491,76,93,162,1.3208,3.6322,0.6858
5,2R SWEG01,25.9,2001131,F,12.2,12.9,21.3,32.2,10.9,132.98,202.055,41.4,58.1,365,19.7979798,18.48484848,22.30994152,6.717171717,8.636363636,5.350877193,79,80,167,1.397,3.556,0.2286
5,6V BRTN01,26,2001139,F,12.9,11.7,23.4,35.1,11.7,150.93,215.865,39.3,56.3,352,19.8989899,18.83838384,22.25146199,10.55555556,6.616161616,6.783625731,107,63,175,3.937,2.6162,1.5494
5,7W BRTN01,25.8,2001139,F,12.8,12,21.5,33.2,11.7,149.76,205.84,40,56.5,350,19.8989899,18.83838384,22.25146199,10.55555556,6.616161616,6.783625731,107,63,175,3.937,2.6162,1.5494
4,5K EOCR02,24.6,2002099,F,13.6,13.2,20.6,35,14.4,195.84,234.5,38.6,60.4,395,21.61616162,11.21212121,7.046783626,8.131313131,4.04E-17,-2.923976608,109,15,3,3.7338,3.4036,3.302
4,4I DBAR02,27.1,2002107,F,12.1,12.4,21.4,33.6,12.2,147.62,205.8,42.2,62.9,402,16.71717172,15.55555556,13.97660819,3.939393939,2.424242424,2.251461988,83,31,65,1.4478,3.2512,4.191
4,3H NEEL02,24.6,2002108,F,11.4,11.9,18.2,29.6,11.4,129.96,172.42,39,51.4,285,15,15.75757576,14.70760234,2.676767677,3.080808081,2.719298246,61,32,86,2.0066,3.2004,4.191
4,1F NEEL02,25.6,2002108,F,11.7,12.3,21.5,32.4,10.9,127.53,194.4,40.3,54.5,370,15,15.75757576,14.70760234,2.676767677,3.080808081,2.719298246,61,32,86,2.0066,3.2004,4.191
