name,id,nestName,sex,Field Sex
AJ,AJ NBUR18,NBUR18,,
BI,BI WCRI18,WCRI18,,
CH,CH WCRI18,WCRI18,,
DG,DG WCRI18,WCRI18,,
EF,EF WCRI18,WCRI18,,
FE,FE WCRI18,WCRI18,,
GD,GD BRAN18,BRAN18,,
HC,HC BRAN18,BRAN18,,
IB,IB BRAN18,BRAN18,,
G-SOG,G-SOG BRAN18,BRAN18,,
O-SOG,O-SOG BRAN18,BRAN18,,
JA,JA NMUR18,NMUR18,F,
KZ,KZ NMUR18,NMUR18,,
LY,LY NMUR18,NMUR18,,
MX,MX NMUR18,NMUR18,,
NW,NW NMUR18,NMUR18,M,M
OV,OV COGO18,COGO18,M,M
PU,PU COGO18,COGO18,M,
QT,QT COGO18,COGO18,M,M
RS,RS BEAR18,BEAR18,,
SR,SR BEAR18,BEAR18,,
TQ,TQ BEAR18,BEAR18,,
UP,UP BEAR18,BEAR18,,
WN,WN LISP18,LISP18,F,
DOA1,DOA1 LISP18,LISP18,,
DOA2,DOA2 LISP18,LISP18,,
DOA3,DOA3 LISP18,LISP18,,
VO,VO MINO18,MINO18,M,
XM,XM HORC18,HORC18,,
YL,YL HORC18,HORC18,,
ZK,ZK FOWA18,FOWA18,,
AI,AI FOWA18,FOWA18,,
BH,BH FOWA18,FOWA18,F,
CG,CG DAN218,DAN218,,
DF,DF DAN218,DAN218,,
EE,EE DAN218,DAN218,,
H-SFF,H-SFF JESS18,JESS18,,
FD,FD BYW218,BYW218,,
GC,GC BYW218,BYW218,,
HB,HB BYW218,BYW218,,
G-SG,G-SG BYW218,BYW218,,
LW,LW SALE19,SALE19,F,
MV,MV SALE19,SALE19,M,
NU,NU ROTA19,ROTA19,F,
OT,OT ROTA19,ROTA19,M,
PS,PS ROTA19,ROTA19,F,F
QR,QR ROTA19,ROTA19,F,
RQ,RQ ROTA19,ROTA19,M,
SP,SP THOR19,THOR19,F,
TO,TO THOR19,THOR19,F,
UN,UN PALM19,PALM19,M,
VM,VM PALM19,PALM19,F,
