"HatchDateJulYear","ID","FieldAge","CalcAge","AllSex","BNT","BW","BD","TEC","UB","UBS","TBS","Skull","Tarsus","Weight"
1992118,"RB HART92",28,26.7,"",23.4,12.3,12.9,37.1,13.7,176.73,233.73,42.1,61.1,397
1992118,"SA HART92",28,25.7,"M",22.2,12.4,12.3,36,13.8,169.74,222.3,42.2,62.1,390
1992118,"TZ HART92",28,26.4,"",24.2,12.3,12.6,37.2,13,163.8,231.57,42.7,60.6,385
1992118,"UY HART92",28,26.9,"",23.2,11.9,12.5,35.9,12.7,158.75,218.99,41.1,59.8,380
1992118,"VX HART92",28,27.6,"",24.8,12.4,12.7,35.7,10.9,138.43,224.0175,44,59.4,405
1992118,"WW WINK92",28,28,"",24.4,12.1,11.9,36.4,12,142.8,218.4,40.2,59.7,355
1992118,"XV WINK92",28,28,"",23.8,12.7,12.1,34.6,10.8,130.68,214.52,40.4,57.2,315
1992118,"YU WINK92",28,28,"",25,12.1,13.4,38.4,13.4,179.56,244.8,43.2,63.2,435
1992118,"ZT WINK92",28,28,"",24.3,11.8,12,36.2,11.9,142.8,215.39,42.1,60.1,350
1992119,"BQ SECE92",28,28,"",25.9,12.4,13.2,37.8,11.9,157.08,241.92,42.1,64,385
1992119,"CP SECE92",28,28,"",23.9,13.2,13,36.1,12.2,158.6,236.455,42.7,60.6,350
1992119,"DO SECE92",28,28,"",24,12.2,13.3,35.8,11.8,156.94,228.225,42.7,60.6,350
1992119,"EN WILO92",28,28,"",25.6,12.4,12.8,38.3,12.7,162.56,241.29,42.3,61.2,440
1992119,"FM WILO92",28,28,"M",22.8,13.2,12.4,35.3,12.5,155,225.92,44.3,62.2,435
1992119,"GL WILO92",28,28,"",19.7,11.8,11.6,31.3,11.6,134.56,183.105,38.5,55.4,227
1992119,"HK WILO92",28,28,"",23.6,13,13,35.4,11.8,153.4,230.1,41.7,59.5,432
1992119,"IJ PIGS92",28,28,"",24.6,12.8,13.6,37,12.4,168.64,244.2,42.9,61.1,425
1992119,"JI PIGS92",28,28,"",26.8,13.5,14.8,39.9,13.1,193.88,282.2925,44.3,64,472
1992119,"KH PIGS92",28,28,"",22.8,14,13.2,35.3,12.5,165,240.04,41.7,60.2,417
1992119,"LG GENR92",29,29,"",23.2,12.4,12.5,35.2,12,150,219.12,42.2,58.2,347
1992119,"MF GENR92",29,29,"",23.7,12.6,13.3,37.3,13.6,180.88,241.5175,42.3,60.6,398
1992119,"NE GENR92",29,29,"",23.8,12.6,12.6,36.6,12.8,161.28,230.58,42.1,57.1,380
1992119,"OD GENR92",29,29,"",24.4,12.6,12.8,36.9,12.5,160,234.315,41.6,56.9,355
1992119,"PC GENR92",29,29,"F",23.4,12.7,13,35.2,11.8,153.4,226.16,41.4,57.9,400
1992119,"QB GENR92",29,29,"",24,13.1,13,36.4,12.4,161.2,237.51,42.6,59.1,390
1992119,"RA WEGO92",29,28,"",26,14,13.2,38.8,12.8,168.96,263.84,45,60.2,420
1992119,"SZ WEGO92",29,26.3,"",23.2,13.8,12.9,37.7,14.5,187.05,251.6475,39.7,60.8,372
1992119,"TY WEGO92",29,28.9,"",27,13.5,13.7,40,13,178.1,272,43.5,59.9,428
1992119,"UX WEGO92",29,26.9,"",23.2,12.6,12.6,37.5,14.3,180.18,236.25,41.5,60.3,385
1992119,"VW WEGO92",29,27.3,"F",24.8,13.4,12.4,38.8,14,173.6,250.26,40.6,59.1,350
1992122,"AQ HAYT92",28,28,"",24.5,12.7,13.1,37.9,13.4,175.54,244.455,41.9,62,420
1992122,"BP HAYT92",28,28,"",24.7,13.3,12.8,37.2,12.5,160,242.73,41.3,58.3,362
1992122,"CO HAYT92",28,28,"",21.5,13.8,12.6,33.5,12,151.2,221.1,43.4,61.8,395
1992122,"DN HAYT92",28,28,"",26,14.2,14.3,39.3,13.3,190.19,280.0125,43.1,63.8,448
1992122,"EM HAYT92",28,28,"",22.6,13.6,13.7,36.6,14,191.8,249.795,42.2,61.2,430
1992122,"FL HAYT92",28,28,"",25.8,14.8,13.6,40.8,15,204,289.68,43.5,62.5,430
1992122,"WV WAHA92",27,27,"",25.2,14.5,13.4,38.6,13.4,179.56,269.235,43.5,60.5,420
1992122,"XU WAHA92",27,27,"",24.4,13.7,13.4,35.6,11.2,150.08,241.19,42.6,60.5,375
1992122,"YT WAHA92",27,27,"",23.5,13.3,12.7,35,11.5,146.05,227.5,41,59.9,372
1992122,"ZS WAHA92",27,27,"",20.7,13.2,12.8,32.6,11.9,152.32,211.9,42,60.9,370
1992126,"II WILG92",28,28,"",25.9,14.3,13.8,39.3,13.4,184.92,276.0825,47.1,63.6,440
1992126,"JH WILG92",28,28,"",25,14.3,13.8,38.5,13.5,186.3,270.4625,44,62.5,465
1992126,"KG WILG92",28,28,"",24,14.6,13.9,37.1,13.1,182.09,264.3375,42.8,63.1,450
1992126,"doa WILG92",28,28,"",23.3,14.2,12.2,35.6,12.3,150.06,234.96,44,58.1,406
1992127,"ME REIS92",28,27.2,"",23.5,12.6,13.1,36.1,12.6,165.06,231.9425,40.3,57,340
1992127,"ND REIS92",28,27.1,"",24.6,14.7,13.6,37.1,12.5,170,262.4825,44.6,60.4,400
1992127,"OC REIS92",28,26.9,"F",23.9,13,12.8,36.9,13,166.4,238.005,43,59.6,398
1992127,"PB REIS92",28,25.7,"",22.2,12.7,11.7,34.3,12.1,141.57,209.23,39.3,55.9,345
1992129,"GK PWOD92",26,26,"",23,14.6,14,36.4,13.4,187.6,260.26,44,60.2,410
1992129,"HJ PWOD92",26,26,"",21.3,13.3,12.6,34.4,13.1,165.06,222.74,40.6,58.6,365
1992129,"LF PWOD92",26,26,"",17.8,13,11.6,29.6,11.8,136.88,182.04,36.7,49.2,260
1992133,"QA SWEG92",28,27,"",24.2,14.4,14.4,37.6,13.4,192.96,270.72,42.5,60.4,425
1992133,"RZ SWEG92",28,25.5,"",20.6,13.1,12.5,32.6,12,150,208.64,39.4,56.2,325
1992141,"SY TORG92",28,27.1,"",25.6,13.8,14.4,39.8,14.2,204.48,280.59,43.9,60.7,357
1993111,"QK KAYS93",29,26.7,"",24,13.2,12.6,36.1,12.1,152.46,232.845,44.1,59.3,380
1993111,"RJ KAYS93",29,27.7,"",25,13.5,12.7,37.3,12.3,156.21,244.315,42.6,61.6,370
1993111,"SI KAYS93",29,27,"F",24.6,12.5,12.8,37.2,12.6,161.28,235.29,42.2,60.5,395
1993113,"EW KNOL93",24,24,"",23.4,14.8,13.7,37.7,14.3,195.91,268.6125,43.1,60.4,420
1993113,"FV KNOL93",24,24,"",23,14,12.5,34.8,11.8,147.5,230.55,40.7,62.2,380
1993113,"GU KNOL93",24,24,"",21.6,12.8,12,32.1,10.5,126,199.02,43.8,60.1,360
1993113,"HT KNOL93",24,24,"",18.2,11.9,11,28,9.8,107.8,160.3,39.6,51.4,250
